iter	Passed	Remaining
769	2353	702
770	2356	699
771	2358	696
772	2361	693
773	2364	690
774	2366	687
775	2369	684
776	2373	681
777	2376	678
778	2380	675
779	2384	672
780	2390	670
781	2393	667
782	2396	664
783	2398	660
784	2401	657
785	2404	654
786	2407	651
787	2409	648
788	2412	645
789	2415	642
790	2418	639
791	2421	635
792	2423	632
793	2426	629
794	2429	626
795	2431	623
796	2434	620
797	2437	616
798	2439	613
799	2442	610
800	2445	607
801	2448	604
802	2450	601
803	2453	598
804	2455	594
805	2459	591
806	2461	588
807	2464	585
808	2466	582
809	2469	579
810	2472	576
811	2476	573
812	2479	570
813	2481	567
814	2484	563
815	2487	560
816	2489	557
817	2492	554
818	2495	551
819	2497	548
820	2500	545
821	2503	542
822	2506	539
823	2509	536
824	2512	532
825	2514	529
826	2517	526
827	2520	523
828	2523	520
829	2526	517
830	2529	514
831	2531	511
832	2534	508
833	2537	505
834	2539	501
835	2542	498
836	2545	495
837	2547	492
838	2550	489
839	2552	486
840	2556	483
841	2559	480
842	2563	477
843	2567	474
844	2571	471
845	2574	468
846	2578	465
847	2581	462
848	2584	459
849	2588	456
850	2591	453
851	2594	450
852	2597	447
853	2600	444
854	2603	441
855	2606	438
856	2609	435
857	2612	432
858	2615	429
859	2618	426
860	2621	423
861	2624	420
862	2627	417
863	2630	414
864	2633	411
865	2637	408
866	2640	405
867	2643	401
868	2646	398
869	2649	395
870	2652	392
871	2655	389
872	2658	386
873	2661	383
874	2664	380
875	2667	377
876	2670	374
877	2673	371
878	2676	368
879	2679	365
880	2682	362
881	2685	359
882	2688	356
883	2691	353
884	2694	350
885	2698	347
886	2701	344
887	2704	341
888	2707	338
889	2710	334
890	2713	331
891	2717	328
892	2719	325
893	2722	322
894	2725	319
895	2728	316
896	2733	313
897	2737	310
898	2741	308
899	2745	305
900	2748	302
901	2752	299
902	2755	296
903	2758	292
904	2761	289
905	2764	286
906	2768	283
907	2771	280
908	2774	277
909	2777	274
910	2780	271
911	2783	268
912	2787	265
913	2790	262
914	2793	259
915	2796	256
916	2799	253
917	2802	250
918	2805	247
919	2808	244
920	2812	241
921	2815	238
922	2818	235
923	2821	232
924	2823	228
925	2826	225
926	2830	222
927	2833	219
928	2836	216
929	2839	213
930	2842	210
931	2846	207
932	2849	204
933	2852	201
934	2855	198
935	2859	195
936	2862	192
937	2865	189
938	2868	186
939	2871	183
940	2874	180
941	2877	177
942	2880	174
943	2883	171
944	2886	168
945	2890	164
946	2893	161
947	2896	158
948	2899	155
949	2902	152
950	2905	149
951	2908	146
952	2912	143
953	2915	140
954	2919	137
955	2922	134
956	2925	131
957	2928	128
958	2931	125
959	2934	122
960	2937	119
961	2939	116
962	2943	113
963	2945	110
964	2948	106
965	2951	103
966	2953	100
967	2957	97
968	2960	94
969	2964	91
970	2967	88
971	2970	85
972	2973	82
973	2976	79
974	2978	76
975	2981	73
976	2983	70
977	2986	67
978	2989	64
979	2991	61
980	2994	57
981	2997	54
982	2999	51
983	3002	48
984	3005	45
985	3008	42
986	3011	39
987	3013	36
988	3016	33
989	3019	30
990	3022	27
991	3024	24
992	3027	21
993	3030	18
994	3032	15
995	3035	12
996	3038	9
997	3040	6
998	3043	3
999	3045	0
